text,source,context_text,hate_speech,sexist,threat,bullying,toxic,hate_speech_mask,sexist_mask,threat_mask,bullying_mask,toxic_mask
আমাদের দেশের পোলাপাইনদের কোন কাজকাম নাই মনে হয় একটা ফুটপাতের মেয়ের ফালতু একটা কথাকে এত ভাইরাল করার কি আছে মাদারচুদ এর নাটক মনে হয় চলতেচেনা তাই মিডিয়া সজাক হওয়ার জন্য এসব নাটক দেখবেন কাল আবার লাইভে এসে ক্ষমা চাইল কি আজব এসব জারজ সন্তান দের জন্য দেশের এই অবস্থা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"এটা কোন প্রকারের ক্ষমা চাওয়ার মধ্যে পড়ে জানিনা, “আমি যদি কোন ভুল করে থাকি” ওয়াও... I mean, you don’t even know about your mistake. ক্ষমা এমন ভাবে চাইতে হয় যাতে ক্ষমা পাওয়ার অনুভব থাকে।কারো বিশ্বাসে আঘাত মানে? এটা কি তোমার বিশ্বাসে আঘাত করেনি?সবার’ই মন ভাসনা কখন না কখনো সমাজে ফসকে পড়ে আর তোমার বেলায়ও সেটা হয়েছে।বলতে গেলে অনেক কিছু বলা সম্ভব, থাক বাদই দিলাম।পরি শেষে বলব এই ক্ষমার মালিক সয়ং আল্লাহ তিনিই মাত্র ক্ষমাকারি।ভবিষ্যতে এমনি হলে আমরা নিন্দা ছাড়া কিছুই উপহার দিতে পারবো না।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"বাহ! বাংলার ফেইসবুক সমাজ আরও একজনকে বাজে, অকথ্য, অশ্লীল ভাষায় গালিগালাজ করার মাধ্যমে ধর্ম এর পথে ফিরিয়ে নিয়ে এসেছে। আলহামদুলিল্লাহ।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"এই জায়েদ খান টা আবার কে?? খান লাগাইসে আরে আবাল এর দল আলম এর নাম নিতে হলে হিরো আগে বলতে হয়! তারপর হয় হিরো আলম। ওর সাবলীল কথা, খারাপ সময়ে মানুষের পাশে দাঁড়ানো, ওর বুকের অসীম সাহস ই ওকে হিরো আলম বানিয়েছে বাংলাদেশের মানুষ। তোদের মতো আবালদের ছবি দেখতে এমনিতেও ভালো মানুষ যায় না হলে। মানুষ কে ছোট করে দেখিস! তোর অওকাত কি? আগে সেটা যান!?তোরা ঘেউ ঘেউ ওই এফডিসি পর্যন্তই করতে পারবি।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
কেন? এত ভয় পান কেন? মুর্খ আবাল চোদাদের গালি খেতেই হবে। কোন চাপে পড়ে এদের কাছে নতি স্বীকার করবেননা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
কুত্তার ঘরে কি ঘোড়ার বাচ্চা আশা করা যায়?? মুরগী কবির এর জারজ এর কাছ থেকে এর চেয়ে আর কি আশা করা যায়?,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
কাশফুলের গরম ছোয়া,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"তুই আমার বালের বাঙ্গালি,সারাদিন জিন্স টপস পইরা নটীবাজি আর মাগীগিরি করস ওগুলো কোন আমলের বাঙ্গালির পোষাক?একদিনে বাঙ্গালি সাইজা ভং ধরিস না।bangali চুদাস আর কথা শুরু করসস hi everyone , দিয়া",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ভাই তুই ওর শরীর প্রদর্শনের লিংক দে... আমি দেখতে চাই।দেখমূ আর *ত মারমু । দে তুই ।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
পুটকি দিয়া হইছে :),cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"নারীর সৌন্দর্য যে নগ্নতায় নয় আবরনে, তা এখান থেকেই দৃশ্যমান।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ভেবেছিলাম তুই একটা ছেলে!!! এখন দেখি এটা একটা হিজরার ID!!! এর জন্যেই সমকামিতার অধিকারের জন্য এত লম্ফঝম্প মারে । শালা সমকামির বাচ্চা!!!,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
বাহারি অচল মাল,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"নূর হোসেন। চুদা ত নবী হইতে শিখছো, দাসী চুুদছে, পরের স্ত্রী কে চুদেছে, খালাতো বোন কে চুদতে গিয়ে ধরা খেয়ে মেরাজের গল্প আটছে, পালক পুত্রের স্ত্রী কে। তা তোরা ত তার ই উম্মত",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"জায়দে তুই কেডা রে?. কবে অাসছোস বাংলা চলচিএে। জীবন তো নাম তো দুরে থাক তোর একটা ছবি নামও শুনি নাই।হাহাহা অাবাল চোদা।৯৬ পর অার কোন বাংলা ছবি দেখি নি।শালমান শাহ মারা যাবার পর।যাইহোক,জনাব জায়েদ যতই বড় বড় কথা বলেন অাপনারাও হিরো অালমের জনপ্রিয়তার ধারে কাছে ও নাই।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আজ গালি দেওয়ার মুড নাই, তাই বাইঞ্চোদ রে গালি দিলাম না।নাইলে ১।শুয়োরের বাচ্চা২। কুত্তার বাচ্ছা৩। হারামির বাচ্চা৪। হারামি৫। হারামজাদা৬। হারামখোর৭। খাঙ্কিরপোলা৮। খান্কি মাগির পোলা৯। চোদনা১০। চুদির ভাই১১। চুতমারানি১২। চুদির পোলা১৩। তর মায়রে চুদি১৪। তর মায়রে বাপ১৫। শালা১৬। শালার পো শালা১৭। হুমুন্দির পুত১৮। মাঙ্গির পুত৯। নাটকির পো২০। ল্যাউড়ার পুত২১.হাউয়ার পো২২.হাউয়ার নাতি২৩.চুদানির পো২৪.ভুদার বেটা২৫.লটির পো২৬.লটির বেটা২৭.ভেড়াচ্চোদা৩১. মাউড়া চোদা৩২. গুয়ার ভিতরে / হোগার ভিতরে ভইড়া দিমু… ৩৩. ঠ্যাঁঙ কাইট্টা পুটকি দা ভইরা দুম! ৩৪. হালা ল্যাওড়া চোদা৩৫. বানচোত৩৬. কুত্তাচোদা৩৭. তর পুটকিত ধান ছড়াইয়া চড়ুই দিয়া খাওয়ামু ৩৮. বালি দিয়া চুদমু তরে খাঙ্কি মাগী! ৩৯.বালের রয়েল বেঙ্গল উকুন ৪০. তোর হউরিরে ডিগবাজী৪১. ছি ছি ছি৪৫. আল বদর৪৬. তোর জাঙ্গীয়া খুইল্যা আগুন লাগায় দিমু ৪৮. বাল ফালায়া খালে নামানো৪৯. বাল ফালায়া আটিঁ বান্ধা ৫০. বালে বালে গিট্টু51. গোলাম আযম52. মইত্যা নিজামী53. গেলমান54. তিনকোনা৫5. তৃনভোজ৫6. চতুরচোর৫7. মহাবুবস্58। বাপের আগে বাল ফালায়৫৯৷ ভোদাই৬০৷ ভোদার বাল৬১৷ বাল৬২৷ বাল ছাল৬৩৷ ধোনের বাল৬৪৷ ধো",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
নুনু,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
খানকীর ছবি দেখলেই ঘিন্না হয়।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"শুধু বোরখা পরে ফেসবুকে ছবি দিলে হবে নাহ, সারা বছর বোরখা পরতে হবে।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"ঠিক এই পাছা কবীর আমার দামী লুংগী চুরি করে নিয়ে ভেগেছে,এখন সেই লুংগী পড়ে ঘুরে বেড়ায় আর বলে এটা নাকি তার লং স্কার্ট।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"যে পরকালে বিশ্বাস করে না সে মুসলমান বা অন্য কোন ধর্মীয় তাতে কিছু আসে যায় না। তবে ইহকালের ঠেলা আপাতত সামাল দিয়ে চল, তারপর সময়কালে যখন বিশ্বাস হবে তখন অবিশ্বাস করার সুযোগ পাবে না।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আসলে শরষের ভিতরেই ভূত। সরকার নিজের স্বার্থ হাসিল করতে গিয়ে নিজেদের জালে আটকে গেছে। মানুষ নিজের বিবেকের তাড়নায় সত্য কথা বললেই সরকারের সমালোচনা করলে রাষ্ট্রদোহী মামলা করা হয় আর প্রিয়া সাহার খুটির জোর আসল কোথায় থেকে যেখানে এতো বড় অপরাধ করার পরে ও আদালত মামলা না নিয়ে খারিজ করে দেয় এটা বোঝার বিষয় ।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আমার গ্রামের নাম কুকিকালিদাস, জন্ম থেকে গ্রামের মুসলিম লোকদের থেকে হিন্দু সম্প্রদায়ের লোকজনের সাথে উঠাবসা বেশি, ফেসবুক ফ্রেন্ড লিস্টে অনেক বন্ধুই আছে, সাথে দাদা, দিদি, কাকা, পিসি সহ অনেকেই আছে, কেউ কি বলতে পারবেন/ পারবে মুসলিমরা তাদের ক্ষতি করেছেন/ করেছে?আমাদের গ্রাম এমন একটি অসাম্প্রদায়িক জায়গা যেখানে মিষ্টির দোকান হিন্দু সম্প্রদায়ের লোকজনের‌ই বেশি, যেখান থেকে জিলাপি কিনে মসজিদে মিলাদ পড়ানো হয়। কোন মুসল্লি এটা নিয়ে চিন্তা না করে নিশ্চিন্তে মিলাদ শেষে জিলাপি খেতে খেতে বাড়ি যায়।বড়িয়াহাট বাজারে চা দোকানে একই কাপে হিন্দু মুসলিম চা খেয়ে যুগের পর যুগ বসবাস করছে। কারো মাথায় এটা নিয়ে কোন ও দিন কাউকে কিছু বলতে দেখি নাইস্কুল কলেজে পড়ার সময় হিন্দু আর মুসলিম বন্ধু একসাথে দুনিয়ার কত কি যে করেছি , তারপরে একই বিছানায় ঘুমিয়ে পড়াশোনা ও শেষ করেছি হিন্দুদের দাওয়াতে আমরা মুসলিম এলাকাবাসী, মুসলিমদের দাওয়াতেও খুব স্বাভাবিকভাবে হিন্দুরা অংশ নিয়েছে, এতে কেউই কিছু মনে করেনিঅফিসের ক্যান্টিনে অথবা সামাজিক কোন অনুষ্ঠানে একই টেবিলে একই প্লেটে হিন্দু মুসলিম পাশাপাশি বসে খাবার খাচ্ছি। মুসলিম লোকটি গরু মাংশ খা",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
তুমি কি বোকাচোদা না এটেনশন সিকার ?,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আমরা বাকস্বাধীনতায় বিশ্বাসী৷ আপনার মতো পাঠকদের প্রশ্নের জবাব তিনি দিয়েছেন৷ পুরোটা পাবেন এই লিংকে: http://dw.com/p/1Gghk,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আমরা বাকস্বাধীনতায় বিশ্বাসী৷ আসিফের বক্তব্যের সঙ্গে আপনি একমত না হলে, আপনার অবস্থান জানাতে চাইলে লিখতে পারেন এই লিংকে, প্রতিবেদনের নিচে: http://dw.com/p/1Gghk",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"প্রিয় পাঠক, আমরা বাকস্বাধীনতায় বিশ্বাসী৷ আসিফের বক্তব্যের সঙ্গে আপনি একমত না হলে, আপনার অবস্থান জানাতে চাইলে লিখতে পারেন এই লিংকে, প্রতিবেদনের নিচে: http://dw.com/p/1Gghk",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
সেক্সি গার্ল,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"তুই খালি দেশে আয় মাগি, ব্যাখ্যা পরে হবে।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"তুমিতো তোমার বাবা মার যায়েজ সহবাস থেকে হইছো,কিন্তু তুমি কি দেখছো তাদের মিলন?যদি না দেখো,তাহলে কিভাবে তারা তোমার জন্মদাতা পিতামাতা হবে?তুমিতো তাহলে সানি লিওন আর জনি সিন্স এর মিলনেও হইছো কিনা আমার সন্দেহ লাগে",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
বারো রকমের ভাত রান্না করতে পারলে বারো ভা…..রী।এখানে তো বিশ রকম ভাত রান্না চলছে!,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"পবিত্র আল কুরআনে আল্লাহ বলেন, “মুমিনগণ, তোমরা অনেক ধারণা থেকে বেঁচে থাক। নিশ্চয় কতক ধারণা গোনাহ। এবং গোপনীয় বিষয় সন্ধান করো না। তোমাদের কেউ যেন কারও পশ্চাতে নিন্দা না করে। তোমাদের কেউ কি তারা মৃত ভ্রাতার মাংস ভক্ষণ করা পছন্দ করবে? বস্তূত: তোমরা তো একে ঘৃণাই কর। আল্লাহকে ভয় কর। নিশ্চয় আল্লাহ্ তওবা কবুলকারী, পরম দয়ালু”--সুরা হুজরাত, আয়াত ১২।এই আয়াতেও পারস্পারিক হক ও সমাজিক নিয়ম নীতি ব্যক্ত করা হয়েছে, এবং এতেও তিনটি বিষয় হারাম করা হয়েছে। এক) ( জন্নুন ) কোন কিছুর প্রতি ঢালাও ভাবে ধারনা করা। দুই) (তাজাছ্ছুছ ) অথাৎ কোন গোপনীয় দোষ সন্ধান করা। তিন) গীবিত করা অথাৎ, কোন অনুপস্থিত ব্যক্তি সম্পর্কে এমন কথা বলা যা সে শুনলে অপছন্দ করবে।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
কারো আইডি হ্যাক করলে আইসিটি অ্যাক্টে মামলা করতে পারবেন এবং ফেসবুক কতৃপক্ষকে রিপোর্ট করে সেই সকলের আইডি বন্ধ করে দিতে পারবেন.,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"কি জামানা আসলো ফেইসবুকে জিহাদ করে,",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ছ্যাচড়া ব্যাটা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আপু লাল বেগুন ও নিয়া আসচেন?,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আপনি বললেন ""আমি যদি কোনো ভুল করে থাকি"" - মানে আপনি এখনো জানেন না বা সিউর নন যে কি ভুল করেছেন। তাহলে ক্ষমা চাচ্ছেন কেনো? কার কাছেই বা ক্ষমা চাচ্ছেন? যাকে দেখেননি, যার ফিজিক্যাল এক্সিসটেন্স নাই তার কাছে কেনোই বা ক্ষমা চাচ্ছেন? শোনেন, আল্লাহ অবশ্যই আপনাকে ক্ষমা করবেন, যদি আপনি মন থেকে অনুভব করেন যে আপনি যা বলেছেন ভুল করেছেন। ক্ষমা করার মালিক আল্লাহ, তার উপর ছেড়ে দেন।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
নাতাশা মাল্কোভা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
একজন মুসলিম হয়ে তাকে এরকম কয়েকটা কথা বলতে পারেনঃ১. তাকে বলতে পারেন বিশ্বাস করতে প্রমাণ লাগে না। বিশ্বাস করতে ঈমান লাগে।২. বলতে পারেন যে আমরা এমন অনেক কিছুই দেখি না যেটার অস্তিত্ব আছে বলে তারপরেও স্বীকার করে নেই। পরমানু বা বিভিন্ন ধরনের পার্টিকেল যেগুলো আমরা চোখে দেখি না কিন্তু তাদের অস্তিত্ত্ব আছে বলে স্বীকার করি কারণ এগুলো এভিডেনা দ্বারা প্রমাণিত। তাপ দেখি না কিন্তু অনুভব করি। ফলে শুধু 'দেখেন' না বলে বিশ্বাস করেন না কথাটা ভুল। যুক্তি বিচারে শক্ত না।৩. আরেকটা যে কাজ করতে পারেন সেটা হচ্ছে চুপ করে থাকতে পারেন। আপনার আল্লাহর কাছে তার হেদায়াতের জন্য দোয়া করতে পারেন।আচ্ছা একজন ঈমানদার বান্দা হিসেবে কী কী করতে 'পারেন না' সেটা এবার একটু দেখিঃ১. তাকে গালি দিতে পারেন না। কারণ গালি ইসলামে নিষিদ্ধ।২. আপনি তাকে ধর্ষণ করার হুমকি দিতে পারেন না। কারণ ধর্ষণ ইসলামে নিষিদ্ধ।৩. আপনি তার বিভিন্ন অঙ্গ প্রত্যঙ্গে গরম রড প্রবেশ করাতে চাইতে পারেন না কারণ ইসলামে অত্যাচার নিষিদ্ধ।৪. আপনি তার গুপ্তাঙ্গ দেখতে চাইতে পারেন না কারণ অনেক আলেমদের ব্যাখ্যা থেকে জানা যায় ইসলামে এমন কি নিজের স্ত্রীর গুপ্তাঙ্গ দেখারও অনুম,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আমাকে একজন জিজ্ঞাসা করল,সাফা কবির যে মেয়ে তুই বিশ্বাস করস?আমি বললাম না, আমি যা দেখি না তা আমি বিশ্বাস করি না।কেন? তার মাথা লম্বা চুলে ভরাট, বুকে আছে দুটো বড় ইয়ে ও মেয়েলি স্বভাব, বিশ্বাস না করার কি আছে??আমি বন্ধুকে বললাম, অনেক পুরুষই এখন লম্বা চুল রাখে আর বুকের জিনিস ও মেয়েলি স্বভাব এগুলো অনেকেই হয় হরমোন সমস্যা কারনে অথবা সে তো হিজড়া ও হতে পারে।তাহলে তুই কখন বিশ্বাস করবি সে যে মেয়ে??উত্তর দিলাম, আমি দেখলে",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"তুই হোগা মারা খা, খানকি",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ওরে মাইরা ফেলা... তোরা কই...!,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আল্লাহর কাছে ক্ষমা চেয়েছেন,সুতরাং উনাকে নিয়ে আমরা বাজে মন্তব্য এবং ট্রল করা থেকে বিরত থাকি, ক্ষমা করার মালিক একমাত্র আল্লাহ!",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
ক্ষমা কেন চাইছে বুঝো না?নিজের ফেসবুক হ্যাক হইছে। ফলোয়ার কমে যাচ্ছে। হুমকি দিচ্ছে মানুষ।এইসব ট্রিক্স আমাদের চেয়ে ওরা ভাল জানে ভাতিজা।Arafat Arno,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আমার কমেট কুজে পাচ্চিনা,ফেইসবুক মুমিনদের কমেটের মাঝে,সবাই সাফা কবিরাকে দিনের পথে নিয়ে আচুন,",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আমি যদি কোন ভুল করে থাকি !!!! মানে আপনি এখনো শিওর না যে ভুল করেছেন কিনা !!!! আর ফেসবুকের বিচার চেয়ে শাহবাগে দারান কারন এটা জাতীয় অপরাধ !!!! হা হা হা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
হে! মেয়ে শুন তোর জম্ম তুই কি দেখেছিস।তোর জম্ম তোর বাপের দ্বারা বা কুত্তার দ্বারা হয়েছে তুই জানিস।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আল্লাহর ক্ষমা হয়তো পেতে পারেন, তবে বঙ্গবাসি ফেসবুকজীবি মুমিনের ক্ষমা পেতে হলে এতো সহজে চিড়া ভিজবে না।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"সাফা কবিরের ফেসবুক পেজ গণহারে রিপোর্ট করেন। যদিও ভেরিফাইড পেইজ, তারপরও চেষ্টা করা যেতে পারে। ধর্ম সম্পর্কে সঠিক তথ্য না জেনে ভুল বিশ্বাসীরা দেশ ও জাতির শত্রু।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"আপাতত 9 টি প্রশ্ন করলাম উত্তর পেলে আরও 6 টি প্রশ্ন করব। ১) ""আল্লাহ পরম দয়ালু এবং ক্ষমাশীল, আল্লাহ নিশ্চয়ই ক্ষমা করবেন"" এই কথাটা কই পাইলেন? নিশ্চয়ই কুরআন থেকে। কুরআনে মানবজাতির জন্য এত এত সতর্কতা ও উপদেশ লেখা আছে। সবকিছুর মধ্যে ""আল্লাহ ক্ষমাশীল"" এটাই বিশ্বাস করলেন কেন??২) ""কারো বিশ্বাসে আঘাত দেয়ার জন্য কথাটা বলিনি"" আপনি বলেছেন আপনি পরকালে বিশ্বাস করেন না এটা আপনার ব্যাপার অন্য কেউ আঘাত পাবে কেন ? তবে কি আপনি এটাই চাচ্ছিলেন বা সৃষ্টি হোক এবং সমাজে অশান্তি সৃষ্টি হয় ? ৩) জনগণের কাছে ক্ষমা চেয়ে লাভ কি? আপনি জনগণের সাথে কোন অপরাধ করেন নাই। যা করার করেছেন আল্লাহর সাথে । আমাদের জনগণের সাথে ক্ষমা চাওয়ার মানে কি ? ৪) ""আপনার ফেসবুক হ্যাক?"" আমরা একটি ফেসবুক কি? হ্যাক কি? কখনো এ ধরনের কথা শুনেনি। লেখাপড়া করিনি তো, আপনি আমাদেরকে বিস্তারিত বুঝিয়ে বলবেন? হ্যাক কাকে বলে? ফেসবুক কাকে বলে এক হলে কি হয় ?৫) আপনি বেশি জনপ্রিয়তা অর্জন করার জন্য কিংবা রুপের অহংকারে কিংবা টাকার অহংকার এর উল্টো পাল্টা আচরণ করবেন জনগণ আপনাকে দেবীর মত পুজো করবে এটা আশা করছেন কেন এটা পাবলিক রিয়েকশান স্বাভাবিক অপর",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আবারও গোয়ারতুমি। আরে যদি ভুল করে থাকি মানে কি। এর মানে সে যে ভুল করেছে সেটা সে সোজা-সুজি স্বীকার করছে না। আর যে পরকালে বিশ্বাস করে না মুখে আল্লাহর পবিত্র নাম মানায় না। পরকালে বিশ্বাস করে না আবার আল্লাহ আল্লাহ করে মুখে ফেনা তুলে ফেলছে। কত অভিনয়ই না জানে।।।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আপনি এখনো স্বীকার করলেন না যে ভুল করেছেন... আর ফেজবুকের জন্য মহান আল্লাহর কাছে বিচার দিলেন? আল্লাহ আপনাকে হেদায়েত করুন। আমিন।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"প্রত্যেক টা ছবিই অর্ধেক ন্যাংটা,ভালা ছবি নাই?",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আমি আসিব গোপনে,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আস্ত একটা খানকি,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
খানকির পোলা গুলো এই ফকিন্নী ভাইরাল করলো,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
সাহসী চোদা আলম,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"মিথ্যাবাদী মহিলা। বেহায়া, নিলজ্জ, লোভী কতটা হলে এই রকম কথা বলা যায়। আবুল বারাকাত গং দের উস্কানী মুল্ক গবেষনার ফলাফল।",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
খবর পাইলাম আপনি নাকি জনি সিন্স এর জাস্ট ফ্রেন্ড ?,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
বাংলাদেশী মিয়া খলিফা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"তোর পুরা পরিবারকে পাটক্ষেতে নিয়া **দিশাউয়‍্যা কবির, মুরগি কবির",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"এইসব অসভ্য বেশ্যারা তামসা পাইছে ।কথায় কথায় pregnant হয়, আবার শাকিব খানকে মান সন্মানের ভয় দেখায় ।Stupid Fucking prostitutions.কোন মহিলা pregnant না হতে চাইলে তারে কিছুতেই pregnant বানানো যাবেনা । Birth controlProcedures বাংলাদেশে cheapest এবং সহজলভ্য ।শাকিব খানের Fans রা কোনও mind করেনা , এক ডজন অবৈধ kids থাকলেও , no problem.Fans রা শাকিব খানকে evaluate করে based on his film work.",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
"ব্রেকিং নিউজ, সবার জন্য দারুন খবর,http://bkas24.wapka.mobi ফেইসবুকের অলস সময়কে কাজে লাগান মাত্র ২ মিনিটে আয় করুন ৫০০ টাকা নাম মাত্র কিছু কাজ করেই আপনি পেতে পারেন ৫০০ টাকা মোবাইল রিচার্জ যেকোন সিমে। বিশ্বাস না হলেলিংকটিতে প্রবেশ করেই দেখুন এবং নির্দেশ মত কাজ করুন । আমি নিজে এইমাত্র ২০০ টাকা পেলাম । এটি পে-পাল ও ফেইসবুক অনুমোদিত।»» http://bkas24.wapka.mobi",cyberbullying,,-1,1,0,1,1,0,1,1,1,1
তোর মত মূর্খ্য জানোয়ারের কাছ থেকে এর বেশি চিন্তা করা ভুল। এই জানোয়ার আমার তো মনে হয় তোর যে জন্ম পরিচয় আছে সেটাই মনে হয় তুই বিশ্বাস করো না। কারন তোরে যারা জন্ম দিছে তাদের কি তোর জন্মের সময় দেখছিস দেখিস নাই তাহলে তোর কথা অনুযায়ী তোর কোনো জন্ম পরিচয় নাই...তুই একটা জারজ তাই না?,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
নগ্ন ও মনে হচ্ছে না এরা খুলে দিলেও যা এমনিতেই তা কতা কন ঠিক কিনা,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
তোমার শুধু জানালা না সব কিছু খোলা থাকে।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
আসলে পোস্টকারী এটা দ্বারা কি বুঝাতে চেয়েছিলেন। এখানে স্বামী স্ত্রীর ভিতর কথোপকথন শুনা যাচ্ছে। খারাপ কিছু তো হচ্ছে না। এবং তাদের কথার ভিতর অশালীন কিছুও ছিল না।,cyberbullying,,-1,1,0,1,1,0,1,1,1,1
