text,source,context_text,hate_speech,sexist,threat,bullying,toxic,hate_speech_mask,sexist_mask,threat_mask,bullying_mask,toxic_mask
পুলিশ জুলুম করতাছে সবার আগে ধরার উচিত ছিল বদমাশ এই মহিলাকে,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। আপনার মাথায় সমস্যা আছে ভাই,মাথা পরিস্কার করুন।;ঘটনা যাই হক মেয়ের দোষ 🤣।আপনাদের কাছে মেয়েরা জন্মগত পাপি।",-1,-1,-1,-1,1,0,0,0,0,1
সঠিক বিচার করার দরকার,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
ধন্যবাদ পুলিশ কে পরে হলেও ব্যস্ততা নিয়েছে,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
দেশের আইন ব্যবস্থা আরো কঠোর হোক,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
যে দোষী হবে তাকেই গঠনমূলক ও যৌক্তিক শাস্তি দিতে হবে। জিরো টলারেন্স মবের বিরুদ্ধে।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। কেউ প্রকাশ্যে যদি আপনার গায়ে হাত তোলে তখন আপনি কি করবেন? বসে থাকবেন? মেয়েটার গায়ে প্রথমে হাত তোলা হয়েছে এরপর মেয়েটি ওই ষ্টুপিডের গায়ে হাত তুলেছে, সেটাইতো স্বাভাবিক।",-1,-1,-1,-1,0,0,0,0,0,1
ওই যুবকের পাশের গুলা যেগুলো গোলমাল পাকালো সেগুলোকেও ধরে আনা উচিৎ। ফাজিলগুলা সব একসাথে থাকে।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
অনেক দোকান ব্যবসায়ীরা বিক্রেতার সাথে খারাপ ব্যবহার করে।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
মার্কেটের দোকানদার বলেন আর ফুটপাতের দোকানদার বলেন তাদের ব্যবহার খারাপ করলেই শাস্তি দেওয়া হোক,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
মেয়ে হলেই সাত খুন মাফ,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,1,0,0,0,0,1
ঘটনা যাই হক মেয়ের দোষ 🤣।আপনাদের কাছে মেয়েরা জন্মগত পাপি।,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। পুলিশ জুলুম করতাছে সবার আগে ধরার উচিত ছিল বদমাশ এই মহিলাকে এনাদের মেয়ে লাগবে একাধিক কিন্তু যাই হোক না কেনো না জেনেই দোষ দিবে সেই মেয়েদের 😊",-1,-1,-1,-1,0,0,0,0,0,1
নারীদের পিছনে একটা পক্ষ লেগে গেলো কেন বুঝলাম না। প্রায় রেগুলার একটা ঘটনা দেশের কোন না কোন প্রান্তে হচ্ছে নারীদের হেনস্তা। এই সিনড্রোমগুলা দেশের জন্য ভালো নয়,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
"মিরপুর ১০ এর ফুটপাতের মার্কেট মানেইতো ক্রেতাদের ওপর জোরপূর্বক গুন্ডামী। ভয়ে কেউ দামও জিজ্ঞেস করে না। দাম জিজ্ঞেস করলে, না নিলে- রিপ্লাই আসে বাজে।",banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে। মিরপুর ১০ এর ফুটপাত উঠিয়ে দেয়া হোক",-1,-1,-1,-1,0,0,0,0,0,1
ঐ ধরা পযর্ন্তই শেষ ফুলস্টপ!!বিচার নাই,banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
"ফুটপাত মুক্ত ঢাকা শহর চাই
",banglatoco,"রাজধানীর ফুটপাতে নারীকে হেনস্তা, সেই যুবককে ধরে আনল পুলিশ রাজধানীর মিরপুর ১০ নম্বরে ফুটপাতে বসা ভাসমান বিক্রেতার কাছ থেকে জুতা কিনতে গিয়ে এক নারী হেনস্তার শিকার হয়েছেন, এমন একটি ভিডিও সামাজিক যোগাযোগমাধ্যমে ছড়িয়ে পড়েছে। ১ মিনিট ১৬ সেকেন্ডের ওই ভিডিওতে দেখা গেছে, ওই নারীকে চড়-থাপ্পড় দিচ্ছেন একজন। তাঁর হাত ধরে টানাটানিও করা হচ্ছিল। কয়েকজন ওই নারীকে চোর, চোর বলছিলেন।পুলিশ জানায়, মূলত জুতা কেনা নিয়ে ভাসমান বিক্রেতার সঙ্গে ওই নারীর ঝগড়া হয়। একপর্যায়ে এ ঘটনা ঘটে।",-1,-1,-1,-1,0,0,0,0,0,1
